,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
8564872,-122.0746708,37.3581814,1410,MIRAVALLE AVE,,LOS ALTOS,,,94024,,382775109c11d016
8564920,-122.1177099,37.3712391,662,UNIVERSITY AVE,,LOS ALTOS,,,94022,,d69e4cfe57c94a8a
8564944,-122.1065027,37.3921623,624,DISTEL DR,,LOS ALTOS,,,94022,,86349fde7d2438ca
8564951,-122.1049112,37.3703383,722,LA PRENDA RD,,LOS ALTOS,,,94024,,fc24c7cd739458a4
8564955,-122.1077416,37.3782324,250,S GORDON WAY,,LOS ALTOS,,,94022,,4612373c7c56dd36
8564977,-122.1126225,37.3696254,751,EDGEWOOD LN,,LOS ALTOS,,,94022,,4d5e69616bd2e16f
8565013,-122.1094371,37.3679414,839,CARNATION CT,,LOS ALTOS,,,94024,,0bb8fb03d9dc5188
8565109,-122.1165409,37.3999161,108,LOUCKS AVE,,LOS ALTOS,,,94022,,a3273d671742cd4b
8565117,-122.1195997,37.3717322,631,MANRESA LN,,LOS ALTOS,,,94022,,c6134f149f02a50c
8565161,-122.0823345,37.3555951,1160,PAYNE DR,,LOS ALTOS,,,94024,,4c8840a39e78423e
8565198,-122.1114224,37.3725453,131,GIFFIN RD,,LOS ALTOS,,,94022,,a7368c4f31663828
8565204,-122.069046,37.3426849,1966,CHURTON AVE,,LOS ALTOS,,,94024,,9a45b5941bd8a793
8565217,-122.0895059,37.3667657,905,RUSSELL AVE,,LOS ALTOS,,,94024,,c32031a2aaf74f57
8565235,-122.0708612,37.3478577,1683,DALEHURST AVE,,LOS ALTOS,,,94024,,fc5eba82863159d5
8565260,-122.106959,37.3866486,290,ALICIA WAY,,LOS ALTOS,,,94022,,522be73b5a4c0699
8565263,-122.098567,37.3757511,637,BENVENUE AVE,,LOS ALTOS,,,94024,,776f610cde841d90
8565303,-122.0658749,37.3529099,1498,BROOKMILL RD,,LOS ALTOS,,,94024,,599b44a095ab4e17
8565305,-122.1176936,37.3860588,258,CHERRY AVE,,LOS ALTOS,,,94022,,d8f711c94dec9d30
8565369,-122.069996,37.3418893,2008,CHURTON AVE,,LOS ALTOS,,,94024,,8a07997406d46ce6
8565398,-122.0643522,37.3589019,1728,JOEL WAY,,LOS ALTOS,,,94024,,c14548d2224eb015
8565468,-122.0671975,37.3395206,2037,EL SERENO AVE,,LOS ALTOS,,,94024,,01aad57e7a4cc890
8565531,-122.0999198,37.3458742,11078,EASTBROOK AVE,,LOS ALTOS,,,94024,,3a0162b1b5da0782
8565537,-122.0744182,37.3466865,1830,AUSTIN AVE,,LOS ALTOS,,,94024,,ad5b7b8e92d8c4c6
8565604,-122.101643,37.3761788,522,PACO DR,,LOS ALTOS,,,94024,,9ebab3de0a3c124e
8565644,-122.1176888,37.3869516,151,SYLVIAN WAY,,LOS ALTOS,,,94022,,8e6377d870fa10ea
8565653,-122.1135875,37.3803606,161,S SAN ANTONIO RD,,LOS ALTOS,,,94022,,8063b31e022050c5
8565697,-122.0644712,37.3565325,1724,OAK AVE,,LOS ALTOS,,,94024,,a3565daddd5a07d7
8565701,-122.0734272,37.3478232,1442,MORTON AVE,,LOS ALTOS,,,94024,,4825a16690983790
8565742,-122.1237285,37.3879723,433,YERBA BUENA AVE,,LOS ALTOS,,,94022,,5addfd02b6770969
8565771,-122.0742653,37.3510203,1650,AUSTIN AVE,,LOS ALTOS,,,94024,,07ee1ccc7bf1785f
8565865,-122.0981816,37.3726991,644,ARBOLEDA DR,,LOS ALTOS,,,94024,,a4aaf81a1e5c2a66
8565895,-122.1047442,37.3865883,290,AVALON DR,,LOS ALTOS,,,94022,,c4989eea8503a181
8565898,-122.114588,37.3715486,640,PALM AVE,,LOS ALTOS,,,94022,,888014dc9bdb87cb
8565901,-122.0901386,37.3667406,906,RUSSELL AVE,,LOS ALTOS,,,94024,,65d0bfe5f5c1c340
8565913,-122.0970103,37.3731326,677,ARBOLEDA DR,,LOS ALTOS,,,94024,,a86e76dad908107f
8565940,-122.1156817,37.3673775,65,BAY TREE LN,,LOS ALTOS,,,94022,,cc36f118fdd88521
8566002,-122.099049,37.3476276,1702,MILLER AVE,,LOS ALTOS,,,94024,,f5b76ac962466cca
8566028,-122.1037032,37.3604001,486,VALLEY VIEW DR,,LOS ALTOS,,,94024,,bf2f557d91a1f4be
8566075,-122.1018931,37.3743597,510,SAN LUIS AVE,,LOS ALTOS,,,94024,,cecde61ab517a523
8566090,-122.0757981,37.3356036,533,MIMOSA CT,,LOS ALTOS,,,94024,,b8af5ab49c7cc3d4
8566099,-122.1204598,37.3937613,257,ALBA CT,,LOS ALTOS,,,94022,,4e45b9649f0e0321
8566100,-122.0819478,37.353911,1535,KENSINGTON CIR,,LOS ALTOS,,,94024,,1e8e01552a093726
8566108,-122.0879015,37.3560554,951,AURA WAY,,LOS ALTOS,,,94024,,929c8994615059cf
8566110,-122.0948132,37.3843559,729,VISTA GRANDE AVE,,LOS ALTOS,,,94024,,e6a2cce5b47443b2
8566126,-122.1183926,37.4032198,197,SANTA RITA CT,,LOS ALTOS,,,94022,,acd0472592cc6019
8566186,-122.0997005,37.3770871,608,GIRALDA DR,,LOS ALTOS,,,94024,,2faaa01ee1ffeeb7
8566250,-122.0611859,37.330234,10510,CRESTON DR,,LOS ALTOS,,,94024,,e262f394a66d33f8
8566355,-122.0792262,37.3511514,1253,RICHARDSON AVE,,LOS ALTOS,,,94024,,403c5eb73ccafc8e
8566357,-122.1164822,37.3875093,100,YERBA BUENA AVE,,LOS ALTOS,,,94022,,b531e9fb79e4228a
8566369,-122.1019529,37.3872582,321,VERANO DR,,LOS ALTOS,,,94022,,cf36141bec3fd190
8566383,-122.1127135,37.3896186,58,SEVILLA DR,,LOS ALTOS,,,94022,,57e5154788bf7b61
8566432,-122.0757218,37.3535196,1372,GARTHWICK CT,,LOS ALTOS,,,94024,,9e954d1e221a011b
8566440,-122.0731352,37.3346093,1425,CEDAR PL,,LOS ALTOS,,,94024,,c5289f58534e4f4d
8566490,-122.1174027,37.3662743,29,DEEP WELL LN,,LOS ALTOS,,,94022,,3d251abbafe1360d
8566517,-122.1052949,37.3779391,389,HAWTHORNE AVE,,LOS ALTOS,,,94022,,9a2576f898aeacf2
8566521,-122.0745288,37.3530742,1567,SIESTA DR,,LOS ALTOS,,,94024,,6428a695792d03dd
8566546,-122.1150459,37.3799889,130,MAIN ST,,LOS ALTOS,,,94022,,cf63deaf1902b4f3
8566548,-122.0940458,37.3625975,752,EDGE LN,,LOS ALTOS,,,94024,,c6763ce40c3c680f
8566565,-122.1167238,37.3727498,580,ORANGE AVE,,LOS ALTOS,,,94022,,6dff2235fb6c0006
8566667,-122.0884386,37.3657748,939,CASTILLEJA CT,,LOS ALTOS,,,94024,,41e33df383a4f899
8566753,-122.0976083,37.3819391,678,CORAL CT,,LOS ALTOS,,,94024,,61f059848eda30ad
8566780,-122.0763405,37.3463145,1850,MIDDLETON AVE,,LOS ALTOS,,,94024,,228206a04bec2ae7
8566788,-122.0963045,37.3739278,510,S SPRINGER RD,,LOS ALTOS,,,94024,,cf1e339cb7559326
8566919,-122.0934398,37.3653251,986,LEONELLO AVE,,LOS ALTOS,,,94024,,da7003ceb151efea
8566933,-122.0862489,37.3409426,930,REGENT DR,,LOS ALTOS,,,94024,,a4d9e6e82c4b5f7f
8567012,-122.1188681,37.3970438,223,W PORTOLA AVE,,LOS ALTOS,,,94022,,6b492dd490d4a5fa
8567026,-122.078739,37.3399837,1252,WINDIMER DR,,LOS ALTOS,,,94024,,bd493291909a89fa
8567052,-122.1036547,37.384109,147,SOLANA DR,,LOS ALTOS,,,94022,,a80ab6eaee5f657c
8567056,-122.1154855,37.3692866,625,MILVERTON RD,,LOS ALTOS,,,94022,,7e5a83051fab9082
8567059,-122.1208276,37.4037246,305,LANGTON AVE,,LOS ALTOS,,,94022,,19d3b95a85565c9a
8567097,-122.0963759,37.3616483,695,BERRY AVE,,LOS ALTOS,,,94024,,85ebf739e36dd7bf
8567172,-122.0827891,37.3413217,2071,KENT DR,,LOS ALTOS,,,94024,,b651471a5e75618d
8567339,-122.0985017,37.3794548,637,STARDUST LN,,LOS ALTOS,,,94024,,79088b61361c9854
8567423,-122.1171017,37.3998974,132,LOUCKS AVE,,LOS ALTOS,,,94022,,a703b6763e7cf5bf
8567435,-122.0681926,37.3385788,2283,GRANT RD,,LOS ALTOS,,,94024,,f466cf2b2a5934b3
8567436,-122.1115314,37.3752056,102,LYELL ST,,LOS ALTOS,,,94022,,aa0db8ce75392871
8567459,-122.080808,37.3602112,1205,PORTLAND AVE,,LOS ALTOS,,,94024,,1681a90154d67073
8567470,-122.0805754,37.3488917,1200,BRUCITO AVE,,LOS ALTOS,,,94024,,3ee8529c8853742a
8567483,-122.1182764,37.3924619,620,KINGSWOOD WAY,,LOS ALTOS,,,94022,,66ae2fac3caccd20
8567531,-122.0651406,37.3459482,1721,PENNY WAY,,LOS ALTOS,,,94024,,74ee742464e548ff
8567552,-122.0668268,37.3439919,1925,FARNDON AVE,,LOS ALTOS,,,94024,,9c87d785e91703bf
8567594,-122.1104657,37.3757448,165,LYELL ST,,LOS ALTOS,,,94022,,cb1ef5a90f223aff
8567684,-122.0944122,37.3844411,739,VISTA GRANDE AVE,,LOS ALTOS,,,94024,,5ce9fe93748c6c71
8567729,-122.094401,37.383271,735,RAYMUNDO AVE,,LOS ALTOS,,,94024,,0103c5ca55dda309
8567812,-122.1173242,37.3661463,26,DEEP WELL LN,,LOS ALTOS,,,94022,,7f23bc985674b77c
8567989,-122.0838331,37.3660651,945,EASTWOOD PL,,LOS ALTOS,,,94024,,655da26341424c68
8568026,-122.0694795,37.3541527,1527,QUEENSBURY AVE,,LOS ALTOS,,,94024,,5982db9bfd432ea2
8568109,-122.0737237,37.3496514,1711,AUSTIN AVE,,LOS ALTOS,,,94024,,8d4efaf6487b86a0
8568235,-122.0810655,37.3468524,1824,GRANGER AVE,,LOS ALTOS,,,94024,,c413ab48535437da
8568250,-122.0875691,37.3532276,979,FREMONT AVE,,LOS ALTOS,,,94024,,fe019a74968cb00e
8568296,-122.0891443,37.3516508,911,LOYOLA DR,,LOS ALTOS,,,94024,,db981d4a40cd03d6
8568297,-122.0889684,37.3518566,1586,COUNTRY CLUB DR,,LOS ALTOS,,,94024,,e038546c1cdea2e6
8568298,-122.088202,37.351986,1000,LOYOLA DR,,LOS ALTOS,,,94024,,61e5a36a47ec39db
8568300,-122.0877969,37.3515592,995,LUNDY LN,,LOS ALTOS,,,94024,,14d31e696d4c0371
8568301,-122.1205081,37.3924998,265,PINE LN,,LOS ALTOS,,,94022,,0dfb5b1780743c40
8568314,-122.1206752,37.4005128,276,SANTANDER CT,,LOS ALTOS,,,94022,,eda7c1d2ad25edab
8568318,-122.118529,37.3752081,416,UNIVERSITY AVE,,LOS ALTOS,,,94022,,40b07459fe7e5340
8568382,-122.100143,37.3612728,1150,BORDER RD,,LOS ALTOS,,,94024,,15e6b007a3285551
8568385,-122.0887663,37.3544399,931,DOLORES AVE,,LOS ALTOS,,,94024,,854d61b6a77b8e99
8568386,-122.0883198,37.3537434,941,FREMONT AVE,,LOS ALTOS,,,94024,,6156cd6183713bfa
8568402,-122.1125369,37.3667753,803,NASH RD,,LOS ALTOS,,,94024,,6e0f99a87f51dd2b
8568451,-122.0893994,37.3494628,1630,CORTE VIA,,LOS ALTOS,,,94024,,55b97aaef35f7e57
8568466,-122.0864427,37.3657826,1010,ALEGRE AVE,,LOS ALTOS,,,94024,,fd6ad9da2394dc05
8568474,-122.0653414,37.3397679,2067,EUGENIA WAY,,LOS ALTOS,,,94024,,0dbf4eda86d8797f
8568503,-122.1063215,37.3790979,176,OSAGE AVE,,LOS ALTOS,,,94022,,29ee8617033cded8
8568504,-122.0782151,37.356873,1424,GRANT RD,,LOS ALTOS,,,94022,,19740d4c8ac1bd71
8568510,-122.0657282,37.3552687,1711,LARKELLEN LN,,LOS ALTOS,,,94024,,651b555c03be28a1
8568513,-122.1055192,37.3416224,10450,BERKSHIRE DR,,LOS ALTOS,,,94024,,8df5e930f934f1b9
8568604,-122.0844975,37.3594224,1303,HOLLY AVE,,LOS ALTOS,,,94024,,103a1260a66f7881
8568649,-122.0971783,37.3793767,675,RIVIERA DR,,LOS ALTOS,,,94024,,ae909dc000a7b09f
8568651,-122.1099786,37.3801328,98,ELEANOR AVE,,LOS ALTOS,,,94022,,abfa5930f44cc208
8568679,-122.1171199,37.3912033,543,CHERRY AVE,,LOS ALTOS,,,94022,,40df793381d174c6
8568715,-122.0709729,37.3471173,1816,NEWCASTLE DR,,LOS ALTOS,,,94024,,87d9f3b9e666144b
8568720,-122.0650001,37.3581269,1341,HARWALT DR,,LOS ALTOS,,,94024,,6c68e2a6e758d9e3
8568749,-122.0957752,37.3789535,706,SUNSHINE DR,,LOS ALTOS,,,94024,,ea394b39691b53fc
8568774,-122.0870253,37.3514643,986,LUNDY LN,,LOS ALTOS,,,94024,,63e10bf4b771822a
8568775,-122.0871527,37.350639,969,LUNDY LN,,LOS ALTOS,,,94024,,6f21b6d29b227d16
8568777,-122.0869487,37.3508688,975,LUNDY LN,,LOS ALTOS,,,94024,,2da15f32f8a4570a
8568819,-122.1253914,37.3905121,450,JUANITA WAY,,LOS ALTOS,,,94022,,f059fed01edf2805
8568822,-122.0747809,37.3385948,22885,ASPEN DR,,LOS ALTOS,,,94024,,af1ba25e889d3dc3
8568832,-122.111824,37.3783934,108,HAWTHORNE AVE,,LOS ALTOS,,,94022,,c656624e3fc3b03a
8568839,-122.0761396,37.3363022,502,MIMOSA CT,,LOS ALTOS,,,94024,,96da617f016c665f
8568913,-122.0639606,37.3319797,10591,CRESTON DR,,LOS ALTOS,,,94024,,a4ee841e2fce8be8
8568917,-122.0935943,37.3546652,1440,ARBOR AVE,,LOS ALTOS,,,94024,,691c901460f8190b
8568935,-122.0671747,37.3318736,22430,AINSWORTH DR,,LOS ALTOS,,,94024,,97c4d83197069efe
8568944,-122.1245651,37.3887656,454,RAQUEL LN,,LOS ALTOS,,,94022,,d8c186eab086ece8
8568948,-122.0877963,37.3434954,980,ST JOSEPH AVE,,LOS ALTOS,,,94024,,b9215c5956aa8cc0
8568992,-122.1062372,37.3471749,11551,HILLPARK LN,,LOS ALTOS,,,94024,,0203018ff1391351
8569012,-122.0968822,37.3673,875,RIVERSIDE DR,,LOS ALTOS,,,94024,,3e0fcea5dda09a6e
8569045,-122.0881143,37.3565821,954,AURA CT,,LOS ALTOS,,,94024,,0b2a8ea4dc27ab25
8569047,-122.089733,37.3594695,919,ALTOS OAKS DR,,LOS ALTOS,,,94024,,8b5b70d6d3e92150
8569049,-122.0867471,37.3497937,949,LUNDY LN,,LOS ALTOS,,,94024,,fd4d4b32488e2cfc
8569050,-122.0869377,37.3503252,961,LUNDY LN,,LOS ALTOS,,,94024,,f4d95f1f96bf77a1
8569065,-122.087034,37.3446979,1020,ROBIN HOOD CT,,LOS ALTOS,,,94024,,ccf78b5512f18373
8569079,-122.097345,37.3879748,660,HOLLINGSWORTH DR,,LOS ALTOS,,,94022,,1709e390e1650c80
8569090,-122.121633,37.3962612,780,LOS ALTOS AVE,,LOS ALTOS,,,94022,,a34fb62af47d0182
8569112,-122.1177203,37.3874511,340,CHERRY AVE,,LOS ALTOS,,,94022,,a7986abeb313bc0f
8569118,-122.1138231,37.3702352,736,ORANGE AVE,,LOS ALTOS,,,94022,,4b6e0342102ccce1
8569125,-122.1220193,37.3981979,869,SANTA RITA AVE,,LOS ALTOS,,,94022,,c983e578c3236de1
8569131,-122.0628412,37.3315854,10574,CRESTON DR,,LOS ALTOS,,,94024,,d42b41e8fd86a6f8
8569166,-122.1167052,37.382224,54,VIEW ST,,LOS ALTOS,,,94022,,4e78db7f80d67533
8569171,-122.0964078,37.3684519,816,S SPRINGER RD,,LOS ALTOS,,,94024,,196c2029a8e0c5a1
8569264,-122.0747752,37.3552958,1413,RANCHITA DR,,LOS ALTOS,,,94024,,1aa303b4d26d82b7
8569297,-122.1036155,37.3739461,441,CUESTA DR,,LOS ALTOS,,,94024,,2c8006be3f79fed5
8569299,-122.1009237,37.3739362,561,CUESTA DR,,LOS ALTOS,,,94024,,67a8c4586efef7c4
8569305,-122.0999017,37.3419739,10977,TERRY WAY,,LOS ALTOS,,,94024,,5ead7743820d93fd
8569375,-122.115428,37.3841315,149,GARLAND WAY,,LOS ALTOS,,,94022,,e7c2d2c93879c2b0
8569428,-122.0707217,37.3531692,1565,WESSEX AVE,,LOS ALTOS,,,94024,,755c80fa706cb72c
8569447,-122.1093771,37.3964602,216,MARICH WAY,,LOS ALTOS,,,94022,,5925952c3d36d266
8569479,-122.0857564,37.3653936,1041,COVINGTON RD,,LOS ALTOS,,,94024,,a7aced08471a9df1
8569505,-122.0641187,37.3314804,10592,AINSWORTH DR,,LOS ALTOS,,,94024,,b0df5d545bb834ab
8569507,-122.0766114,37.3459455,1337,BELLWOOD CT,,LOS ALTOS,,,94024,,f9dae66ff27b8fbb
8569517,-122.1056973,37.3862483,270,SUNKIST LN,,LOS ALTOS,,,94022,,9915d97a3c83ed2f
8569518,-122.0848673,37.3607936,1049,DARTMOUTH LN,,LOS ALTOS,,,94024,,8bd93fe6ff175a89
8569531,-122.1088704,37.3905229,498,LOS NINOS WAY,,LOS ALTOS,,,94022,,908eebcd8120ddd7
8569558,-122.0836893,37.3639904,1107,MUIR WAY,,LOS ALTOS,,,94024,,87650da2da379ef5
8569575,-122.1137141,37.3717227,645,PALM AVE,,LOS ALTOS,,,94022,,b3de19604fd104ae
8569591,-122.1130059,37.3709633,676,PALM AVE,,LOS ALTOS,,,94022,,ea14da08b7467d2f
8569671,-122.1020505,37.3765633,336,RAMON DR,,LOS ALTOS,,,94024,,5226057ab53f99e9
8569763,-122.0974387,37.3630705,1112,BRIARWOOD CT,,LOS ALTOS,,,94024,,2ccbbd7a68b345ad
8569813,-122.0815766,37.3472658,1201,EVA AVE,,LOS ALTOS,,,94024,,437677c02fbd4f81
8569852,-122.1091364,37.3774662,226,HAWTHORNE AVE,,LOS ALTOS,,,94022,,0c50e46e33e7d0c2
8569857,-122.0660689,37.332457,22369,AINSWORTH DR,,LOS ALTOS,,,94024,,0b324e9217e722ec
8569874,-122.0693602,37.3437245,1932,ALFORD AVE,,LOS ALTOS,,,94024,,313c70ca0b674990
8569901,-122.0836016,37.3424864,1999,SCOTT LN,,LOS ALTOS,,,94024,,8750f016b8367099
8569913,-122.1197501,37.3950099,736,LINDEN AVE,,LOS ALTOS,,,94022,,b6d3170c3eeba35e
8569962,-122.0920377,37.3617073,805,BERRY AVE,,LOS ALTOS,,,94024,,a413c2e01b94a2fb
8569971,-122.1181325,37.3982131,190,PASA ROBLES AVE,,LOS ALTOS,,,94022,,eb86603691664766
8570029,-122.1065513,37.3945816,725,PANCHITA WAY,,LOS ALTOS,,,94022,,6248fb46ce681c20
8570034,-122.0624304,37.3313491,10566,CRESTON DR,,LOS ALTOS,,,94024,,0de173b563a76a6c
8570040,-122.0680905,37.3497791,1595,CLAY DR,,LOS ALTOS,,,94024,,54b57ffa2aaaf959
8570052,-122.0625764,37.3306,22180,ALDERNEY CT,,LOS ALTOS,,,94024,,7978f4ebd268faef
8570090,-122.0737326,37.3430506,1966,COLLEEN DR,,LOS ALTOS,,,94024,,55ae789eb6758268
8570091,-122.0689702,37.3408812,2013,FARNDON AVE,,LOS ALTOS,,,94024,,705484120f6785c1
8570106,-122.1023058,37.3743459,492,SAN LUIS AVE,,LOS ALTOS,,,94024,,b7bf0bb6206f9fc4
8570108,-122.0957939,37.3601784,1271,S SPRINGER RD,,LOS ALTOS,,,94024,,79e9b2ed0892a7ee
8570127,-122.1179912,37.3870847,165,SYLVIAN WAY,,LOS ALTOS,,,94022,,9af6b71bcf8ba4fc
8570138,-122.0865461,37.3619054,1110,RUNNYMEAD DR,,LOS ALTOS,,,94024,,0389ebd3776def76
8570172,-122.119699,37.3958264,764,LINDEN AVE,,LOS ALTOS,,,94022,,c84f9d0aabd8bdfa
8570195,-122.0649121,37.3585264,1715,HAWKINS DR,,LOS ALTOS,,,94024,,d5cc8d22aab85467
8570230,-122.1045291,37.3592791,436,KNOLL DR,,LOS ALTOS,,,94024,,b777ee9e4fe1bf39
8570395,-122.1035114,37.3716649,425,LOS PAJAROS CT,,LOS ALTOS,,,94024,,b812630661a5c040
8570408,-122.068796,37.3361865,2245,DEODARA DR,,LOS ALTOS,,,94024,,d1a7d76562ecc871
8570484,-122.1145642,37.3893926,11,MAYNARD CT,,LOS ALTOS,,,94022,,18f241e8ef430d08
8570536,-122.101259,37.3704706,706,CASA BONITA CT,,LOS ALTOS,,,94024,,17b2674f9e97a587
8570586,-122.1018402,37.3422083,10620,W LOYOLA DR,,LOS ALTOS,,,94024,,53858c81f90d5161
8570591,-122.0845596,37.3532659,1070,ROSEMONT AVE,,LOS ALTOS,,,94024,,feb5d131e8fa100e
8570594,-122.1087446,37.3890001,414,DISTEL DR,,LOS ALTOS,,,94022,,f1d7dc85861b0db3
8570623,-122.0984646,37.3841524,144,N EL MONTE AVE,,LOS ALTOS,,,94022,,fa53283e68dd5603
8570631,-122.0785624,37.3506769,1276,RICHARDSON AVE,,LOS ALTOS,,,94024,,c7ec20f670dbc013
8570684,-122.0781887,37.3640921,1049,E ROSE CIR,,LOS ALTOS,,,94024,,7261895a60fac9b1
8570724,-122.0916488,37.3463631,833,HIERRA CT,,LOS ALTOS,,,94024,,ac94e1c4662d11e4
8570725,-122.1216195,37.3948495,730,LOS ALTOS AVE,,LOS ALTOS,,,94022,,d1e71fc2eb3d5775
8570740,-122.1077186,37.367248,881,UNIVERSITY AVE,,LOS ALTOS,,,94024,,5e0c4321ce376c41
8570810,-122.1118972,37.3924701,104,ALVARADO AVE,,LOS ALTOS,,,94022,,9fcd97c7979c05ee
8570816,-122.119247,37.402134,1087,LOS ALTOS AVE,,LOS ALTOS,,,94022,,3ca00a3697b4d84b
8570888,-122.0976062,37.380714,662,CAMELLIA WAY,,LOS ALTOS,,,94024,,f56b59175cde4c4f
8570981,-122.1011898,37.3508671,1615,SHIRLEY AVE,,LOS ALTOS,,,94024,,e4a60af42ed59b57
8571046,-122.0862143,37.3397976,889,HIGHLANDS CIR,,LOS ALTOS,,,94024,,03295abaaf5f1c68
8571109,-122.1008461,37.3768984,318,S CLARK AVE,,LOS ALTOS,,,94022,,bbf2f746376aacfe
8571162,-122.1066256,37.3482794,11585,OLD RANCH RD,,LOS ALTOS,,,94024,,fbd165800a6ec83a
8571194,-122.1172845,37.3978485,147,DEL MONTE AVE,,LOS ALTOS,,,94022,,f4ff3704f8979f5d
8571195,-122.0723603,37.3435607,1962,NEWCASTLE DR,,LOS ALTOS,,,94024,,3c57d7a04c2aa837
8571250,-122.1147552,37.3856515,24,CORONADO AVE,,LOS ALTOS,,,94022,,2798421f160f756c
8571260,-122.0632466,37.3577053,1745,SELIG LN,,LOS ALTOS,,,94024,,45706c026fae3dc0
8571339,-122.1013964,37.3855463,226,N CLARK AVE,,LOS ALTOS,,,94022,,2bcd379671bca456
8571385,-122.1045088,37.3932554,652,CASITA WAY,,LOS ALTOS,,,94022,,ea4100649aacc461
8571386,-122.0845721,37.3574245,1375,HOLLY AVE,,LOS ALTOS,,,94024,,1fb5a77f4948a779
8571397,-122.0784705,37.3660303,930,DAMIAN WAY,,LOS ALTOS,,,94024,,06eec901f274a908
8571431,-122.089021,37.3640336,917,STANLEY AVE,,LOS ALTOS,,,94024,,7df9b2a1818d9214
8571442,-122.1072751,37.3501603,11666,WINDING WAY,,LOS ALTOS,,,94024,,07bd3f0a9e15761e
8571454,-122.0976914,37.3739199,657,CUESTA DR,,LOS ALTOS,,,94024,,5f951634d3ee0af6
8571480,-122.0843245,37.339749,872,HIGHLANDS CIR,,LOS ALTOS,,,94024,,24f89ac87699c68b
8571511,-122.1045702,37.3469368,11556,HILLPARK LN,,LOS ALTOS,,,94024,,5a336925dc3bba59
8571529,-122.1077839,37.3467829,23801,RAVENSBURY AVE,,LOS ALTOS,,,94024,,d56020921eb58e73
8571541,-122.102296,37.368594,485,HARRINGTON CT,,LOS ALTOS,,,94024,,8f34197acfcd4f9e
8571546,-122.1106814,37.3962747,151,E PORTOLA AVE,,LOS ALTOS,,,94022,,5f529ff750384aff
8571590,-122.0783247,37.3377973,1271,VIA HUERTA,,LOS ALTOS,,,94024,,fc803112ac747a81
8571594,-122.077169,37.3570354,1315,OAK AVE,,LOS ALTOS,,,94024,,3b1ff24021bad6aa
8571653,-122.0820178,37.36615,924,O'DELL WAY,,LOS ALTOS,,,94024,,9c20e9e4bee6b0cd
8571694,-122.1128059,37.3867221,260,TRIANON WAY,,LOS ALTOS,,,94022,,7ec330571caa68c1
8571702,-122.0983377,37.3770974,640,GIRALDA DR,,LOS ALTOS,,,94024,,55c33e2d86fa2cda
8571733,-122.1242217,37.3997249,455,TRAVERSO AVE,,LOS ALTOS,,,94022,,654a91f3c9c06f34
8571761,-122.1018107,37.3583219,1229,GRONWALL LN,,LOS ALTOS,,,94024,,8fa3c0ae4769b46f
8571787,-122.082103,37.3652974,964,BLACK MOUNTAIN CT,,LOS ALTOS,,,94024,,2f58318ca05c1475
8571820,-122.1137241,37.3979882,93,CHESTER CIR,,LOS ALTOS,,,94022,,70b4d6b2c64bb057
8571872,-122.0707938,37.3436723,1954,ANNETTE LN,,LOS ALTOS,,,94024,,2a39c050de2ccf96
